Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,Taxon_Code,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Habitat
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803,EATO,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,Unknown,White-breasted Nuthatch,Sitta carolinensis,178775.0,90935,WBNU,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Unknown,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865,RBWO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Unknown,Orchard Oriole,Icterus spurius,179064.0,93634,OROR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,Unknown,Northern Mockingbird,Mimus polyglottos,178620.0,88394,NOMO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Unknown,Northern Cardinal,Cardinalis cardinalis,179124.0,94228,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Unknown,Northern Cardinal,Cardinalis cardinalis,179124.0,94228,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Unknown,Horned Lark,Eremophila alpestris,554256.0,264079,HOLA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Unknown,Mourning Dove,Zenaida macroura,177125.0,82737,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,1900-01-01 06:18:50,1900-01-01 06:28:50,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest
